Venue Name,Venue Address,Venue Phone,Venue Neighborhood,Venue Website,2for1 Offer
Next Door Union Station,1701 Wynkoop St, (720)460-3730,Union Station,TheKitchen.com/Next-Door-Union-Station/,"Kegged Cocktails, Select Beers, or Select Wines"
The Nickel,1100 14th St, (720)889-2128,LoDo,TheNickelDenver.com,Brunch Cocktails or Barrel Bar Cocktails
Nocturne,1330 27th St, (303)295-3333,RiNo,NocturneJazz.com,Barrel Aged Manhattans or Any By-the-Glass Bubbles
Ophelia's Electric Soapbox,1215 20th St, (303)993-8023,Ballpark,OpheliasDenver.com,The Airedale
Our Mutual Friend Brewing,2810 Larimer St, (720)722-2810,RiNo,OMFBeer.com,Pints 
Park & Company,439 E 17th Ave, (720)328-6732,Uptown,ParkandCoDenver.com,Classic Mule
Park Burger,2615 Walnut St; 1890 S Pearl St; 2643 W 32nd Ave;, (720)381-0126; (720)242-9951; (303)862-8461 ,RiNo; Platt Park; Highlands,Parkburger.com,House Draft Beers
Postino WineCafé,2715 17th St,(303)433-6363,LoHi,PostinoWineCafe.com/,Last August Sauvignon Blanc or Victory Brewing Prima Pilsner
Prost Brewing Company,2540 19th St, (303)729-1175,LoHi,ProstBrewing.com,Draft Biers
Rackhouse,2875 Blake St, (720)570-7824,RiNo,TheRackhouse.com,Bierstadt Lagers or C Squared Ciders
range/Teller Bar ,918 17th St, (720)726-4800,Downtown,RangeDowntown.com,"Colorado Beers, Wines, and Spirits"
Ratio Beerworks,2920 Larimer St, (303)997-8288,RiNo,RatioBeerworks.com,"Domestica, Dear You, Repeater, Antidote, or Hold Steady"
Rhein Haus,1415 Market St, (303)800-2652,LoDo,RheinHausDenver.com,Rhein Haus Lagers
Rio Grande Mexican Restaurant,1525 Blake St, (303)623-5432,LoDo,RioGrandeMexican.com,Classic Rio Margs (Frozen or On the Rocks) or Draft Beers
The Rosedale,1135 E Evans Ave, (720)961-0320,DU,TheRosedaleDenver.com,Any Specialty Cocktail Including Brunch Cocktails
Russell's Smokehouse,1422 Larimer St, (720)524-8050,LoDo,RussellsSmokehouse.com/,Old Fashioned or Gold Rush
Sarto's Social Italian Eatery,2900 W 25th Ave, (303)455-1400,Jefferson Park,Sartos.com,"Drafts, Spritzers, or Select Wine"
The Squeaky Bean,1500 Wynkoop St, (303)623-2665,LoDo,TheSqueakyBean.com,"A Weekly, Daily, or Hourly Rotation of Bean Acres Colllins"
Ste. Ellie,1553 Platte St. #120 1/2, (303)477-1447,Riverfront,SaintEllie.com,Theme & Variation Menu
Stranahan's Colorado Whiskey Lounge,200 S Kalamath St, (303)296-7440,Baker,Stranahans.com,Seasonal Cocktails
SugarMill,2461 Larimer St, (303)297-3540,RiNo,SugarmillDesserts.com/,Glass of Wine or Bubbles
Tooey's Off Colfax,1521 Marion St, (303)586-5075,Capitol Hill,Facebook.com/Tooeys.Colfax/,"Old Fashioneds, Negronis, or Mix & Match "
TRVE Brewing Co.,227 Broadway , (303)351-1021,Baker,TrveBrewing.com,Draft Beers
Vesper Lounge,233 E 7th Ave, (720)328-0314,Governors Park,VesperDenver.com/,Tap Cocktails
Vital Root,3915 Tennyson St,,Berkeley,,Colorado Cider Co. Dry Ciders
The Way Back,4132 W 38th Ave, (720)728-8156,Berkeley,TheWayBackDenver.com,"House Old Fashioned, The Way Back Punch, or House Wine"
Whiskey Tango Foxtrot,2907 Huron St, (303)226-1540,Ballpark,WhiskeyTF.com,Bartender Creations or Foxtails
,,,,,
Que Bueno Mexican Grille ,"8500 Peña Blvd, Concourse B", (303)342-3372,NE Denver,MissionYogurt.com,House Margaritas
Timberline Steaks & Grille,"8500 Peña Blvd, Concourse C", (303)342-6670,NE Denver,MissionYogurt.com,Draft Beers
